"from_id","from_name","message","created_time","likes_count","comments_count","id"
"1942403942693065","Quỳnh Em","Vk ck tớ cũg phjêu Closeup ság và tối da dc gần 4 năm roài.hy vong sp duy trì dc chất lươg mãi chứ k phải chj là t.g đầu nkư vàj nhãn hjêu khác","2016-05-07T13:33:52+0000",3,1,"1006356072784554_1010926842327477"
"813672022146489","Cataline Nguyễn","Có ai biết bài hát trog quảng cáo closeup mới là j k nhỉ k phải titanium lúc trc đâu nha","2016-05-14T15:03:40+0000",0,1,"1006356072784554_533834680143039"
"1125745524191551","Nhi Trịnh","Sự kiện dì hot z ad. Khi nào diễn ra zậy. Thể lẹ ntn z ad ơi. Hóng quá à
Ryn pa ơi. mẹ mún ^^","2016-05-06T13:06:59+0000",1,1,"1006356072784554_1010264005727094"
"480194109001115","Hy Phan","Nói vậy chăc mấy ng ko làm mới là chia tay nhau hết chắc.","2016-05-10T07:09:09+0000",0,1,"1006356072784554_532067943653046"
"504962176516404","Hà Kim Chii","Cái bài hát quảng cáo Close up tên là gì nhỉ m.n????","2016-05-03T14:35:47+0000",23,13,"1006356072784554_1008606789226149"
"817467331764390","Thế Vinh","E muốn tỏ tình mà chả biết làm như nào hết :'((((","2016-05-10T14:31:00+0000",0,2,"1006356072784554_617131728445652"
"633720896836434","Nutiplus Dỏm Duy Dí","Có event cho cặp đôi chưa ad","2016-05-05T00:07:05+0000",9,2,"1006356072784554_1009437439143084"
"1135728533228371","Nguyễn Bá Thành Trai","đag hóng cái event của add","2016-05-04T08:15:05+0000",1,1,"1006356072784554_1009063542513807"
"843442739156735","Nguyễn Trang","Bài hát quảng cáo close up trên tivi là bài gì v m.n","2016-05-12T05:28:39+0000",0,1,"1006356072784554_532793680247139"
"456462324717844","Phạm Tử Hảo","Mún phiêu mà k có người yêu sao phiêu đc ad ơi.","2016-05-07T14:30:26+0000",0,1,"1006356072784554_1010962462323915"
"1402420769877952","Lee Nhat","cái này là saoo... event ha","2016-05-03T16:01:21+0000",3,2,"1006356072784554_1008647885888706"
"448669585496748","Đạt Bắp Rang","Thế ko có gấu thì fai làm sau","2016-05-12T16:03:31+0000",0,1,"1006356072784554_617999041692254"
"975482462589533","Huy Cao","Ad.lusc nào thì có sự kiện vậy","2016-05-11T02:32:48+0000",0,1,"1006356072784554_617358208423004"
"1909809469307101","Hoàng Minh Toán","Thật sự là tôi ko hiểu... phiêu là j...������������������","2016-05-10T17:01:00+0000",0,1,"1006356072784554_617169838441841"
"627147074161070","Tường Vi Huỳnh","yêu xa thì làm sao phiêu đây?","2016-05-07T08:52:17+0000",0,2,"1006356072784554_1010790382341123"
"1070984566368653","Phan Thị Thanh Trà","Chưa có người yêu để phiêu","2016-05-09T15:11:19+0000",0,2,"1006356072784554_616765948482230"
"2010164589212998","Nguyễn Hoa","Tổ chức ntn vậy ad?","2016-05-03T13:20:18+0000",5,2,"1006356072784554_1008571889229639"
"367218800359565","Van Dong","Yeu la phai phieu ngia la sao z ad","2016-05-11T01:09:12+0000",0,1,"1006356072784554_617342031757955"
"741331556049508","Hoàng Vũ Minh","Bao h lại có event giải F.a thế ad ơi :3","2016-05-03T13:17:38+0000",2,4,"1006356072784554_1008571109229717"
"835736576590309","Nguyễn Đình Ngọc Sơn","Love Chun 1 ngay là có thể đủ cho a giữ cả năm ý..  ������ hy vọng la time se trôi qua nhanh... nhanh hơn khi ta bên nhau z... ������","2016-05-03T14:03:34+0000",6,4,"1006356072784554_1008593915894103"
"1956455314637122","Yến Linh","Minh Bình Anh hẹn hò là không được ngồi im =)))))))))))","2016-05-04T06:19:11+0000",5,2,"1006356072784554_1009028109184017"
"852704824884013","Móm Nhất Xóm","Thấy chưa. Yêu là phải phiêu mỗi ngày. Đây bỏ cả 2 năm. Phí lắm :)) Thanh Tâm","2016-05-07T10:16:47+0000",2,3,"1006356072784554_1010849049001923"
